id,AthleteName,Nationality,LowHighPD,Gender,OlympicParalympic,WinLose,Condition
_0037_Screenshot_Face,Beatriz Souza,BRA,High,Female,Olympic,Win,Image_Slider
_0003_Screenshot_Face,Shirine Boukli,FRA,High,Female,Olympic,Win,Image_Slider
_0018_Screenshot_Face,Eteri Liparteliani,GEO,High,Female,Olympic,Loss,Image_Slider
_0036_Screenshot_Face,Rika Takayama,JPN,High,Female,Olympic,Loss,Image_Slider
_0121_Screenshot_Face,Alana Maldanado,BRA,High,Female,Paralympic,Win,Image_Slider
_0103_Screenshot_Face,Anastasiia Harnyk,UKR,High,Female,Paralympic,Win,Image_Slider
_0128_Screenshot_Face,Sheyla Hernandez Estupinan,CUB,High,Female,Paralympic,Loss,Image_Slider
_0113_Screenshot_Face,Yuliia Ivanytska,UKR,High,Female,Paralympic,Loss,Image_Slider
_0052_Screenshot_Face,Denis Vieru,MDA,High,Male,Olympic,Win,Image_Slider
_0049_Screenshot_Face,Hifumi Abe,JPN,High,Male,Olympic,Win,Image_Slider
_0080_Screenshot_Face,Minjong Kim,KOR,High,Male,Olympic,Loss,Image_Slider
_0503_Screenshot_Face,Ronald Kwemoi,KEN,High,Male,Olympic,Loss,Image_Slider
_0172_Screenshot_Face,Marcelo Casanova,BRA,High,Male,Paralympic,Win,Image_Slider
_0171_Screenshot_Face,Davurkhon Karamatov,UZB,High,Male,Paralympic,Win,Image_Slider
_0170_Screenshot_Face,Helios Latchoumanaya,FRA,High,Male,Paralympic,Loss,Image_Slider
_0134_Screenshot_Face,Mexsam Banitaba,IRI,High,Male,Paralympic,Loss,Image_Slider
_0013_Screenshot_Face,Christa Deguchi,CAN,Low,Female,Olympic,Win,Image_Slider
_0447_Screenshot_Face,Sunisa Lee,USA,Low,Female,Olympic,Win,Image_Slider
_0441_Screenshot_Face,Annette Nneka Echikunwoke,USA,Low,Female,Olympic,Loss,Image_Slider
_0035_Screenshot_Face,Anna-Maria Wagner,GER,Low,Female,Olympic,Loss,Image_Slider
